0,0.0651783,0.0544118,0.0498159,0.0481055,0.0479437,0.048258
1,0.137616,0.134554,0.12954,0.125421,0.122735,0.121131
2,0.0842529,0.0704346,0.0636086,0.0603655,0.0589421,0.058074
3,0.110373,0.108432,0.105239,0.103142,0.102427,0.102544
4,0.152202,0.212633,0.255699,0.281713,0.295902,0.303422
5,0.164383,0.161231,0.154395,0.148245,0.143563,0.140017
6,0.0592813,0.0506797,0.0472611,0.0465507,0.0467792,0.0474535
7,0.134946,0.13257,0.127924,0.124313,0.121769,0.120259
8,0.0917673,0.0750545,0.066517,0.0621446,0.0599388,0.058842
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
